model, mc_value_mean,mc_value_std,ope_on_policy_mean,ope_on_policy_std,ope_dm_mean,ope_dm_std,ope_dr_mean,ope_dr_std,ope_tis_mean,ope_tis_std,ope_pdis_mean,ope_pdis_std,log25_iw_max_mean,log25_iw_max_std,log25_iw_mean_mean,log25_iw_mean_std
gormpo-diffusion, 0.2887880282073465,0.010021492948337863,0.17486165744189056,0.0,0.060876295202722155,0.11496091812371349,0.12023625911848443,0.13213414431286388,0.0475877682220172,0.013206360952350633,0.0957438696496601,0.024837889536436054, 1.1786180496215821,0.11932433807867633,-456.2879333496094,33.88826585849288
gormpo-neuralode,0.7507235968845609,0.01439900506400762,0.64782464554659,0.0,0.15063949840019147,0.08541653190243506,0.2027740152317405,0.09932515160851978,-0.026525115288930156,0.056972884532607446,-0.00706381589575554,0.06794641866457543,2.104398584365845,0.6267734944135755,-13221.9751953125,1978.126266415641
gormpo-kde,0.6491668663771101,0.009235958742909549,0.5874749325790188,0.0,0.01933767496297757,0.07844090862753936,0.0900552769612483,0.09815172269740201,0.031325869754537175,0.033397148092897684,0.08048164259956558,0.04720909947894856,0.6032223999500275,0.21959587699650068,-5.389124011993408,0.1631586828516802
gormpo-realnvp, 0.6755259868155731,0.02030386315106942,0.5431133217692162,0.0,0.17997660030176243,0.38586852477974243,0.19330021064616715,0.3209722354604667,0.08581353412152581,0.06467795473273423,0.1341910451160318,0.07069355311624059,1.8666776418685913,0.11159325976039325,-3687.73388671875,502.1897412007081
gormpo-vae, 0.34303543525865476,0.010387019415733278,0.2259708847732497,0.0,0.05766785003989936,0.10248376311051553,0.12899244153284772,0.12169213060215592,0.070191263509217,0.06568442891233207,0.1426234687409847,0.07275621985541733,1.947753119468689,1.947753119468689,-3783.32421875,436.0699530068534
mbpo,0.5850408003680642,0.012602939482510147,0.4715148196850702,6.206335383118183e-17,0.17575938474635283,0.08456383159879136,0.23061996819569175,0.10493565315205228,0.005545179387484187,0.06571862153181558,0.036951879205364066,0.07685232228076816,2.3611718654632567,2.3611718654632567,-49648.30078125,8877.179777383139
